Month,Unemployment_rate volatility,indeed jobs: (United States),jobs near me: (United States),amazon jobs: (United States),jobs hiring near me: (United States),usaa jobs: (United States),work from home jobs: (United States),part time jobs near me: (United States),walmart careers: (United States),handshake: (United States),jobs: (United States),government jobs: (United States),amazon careers: (United States),online jobs: (United States),career: (United States),work from home: (United States),linkedin jobs: (United States),remote jobs: (United States),google jobs: (United States),part time jobs: (United States),employment: (United States),google careers: (United States),target careers: (United States),amazon force: (United States),hiring near me: (United States),ups jobs: (United States),walmart jobs: (United States),walmart application: (United States),jobs hiring: (United States),ups careers: (United States),freelance: (United States),civil service jobs: (United States),apprenticeship: (United States),data entry jobs: (United States),job search: (United States),job vacancy: (United States),part time: (United States),software engineer: (United States),edjoin: (United States),freelance jobs: (United States),apple home advisor: (United States),target jobs: (United States),places hiring near me: (United States),side hustle: (United States),virtual assistant jobs: (United States),monster jobs: (United States),warehouse jobs near me: (United States),higher ed jobs: (United States),administrative assistant: (United States),microsoft careers: (United States),accenture careers: (United States)
2005-01,0.018518519,0,0.5,1,0,17,7,0,3,12,52,82,0.5,42,82,21,1,1,13,27,92,6,2,5,0,17,18,8,4,12,79,66,61,21,81,48,35,33,24,76,0,10,0,0,1,79,0,23,27,40,10
2005-02,0.018867925,0,0,0.5,0,13,7,0,1,12,49,73,2,40,82,19,0,1,10,22,82,4,3,6,0,19,11,10,4,8,72,65,53,18,66,33,29,29,26,51,0,12,0,1,0,72,0,19,26,19,10
2005-03,0.037037037,0,0,1,0,9,7,0,3,9,49,71,2,36,79,20,0.5,0.5,9,22,84,6,5,5,0,15,12,4,4,11,70,42,57,17,67,44,29,31,30,62,0,9,0,0,2,70,0,26,27,36,4
2005-04,0,0.5,0,1,0,5,6,0,1,10,48,65,1,44,75,18,0,0.5,10,19,84,4,3,6,0,20,13,8,4,15,65,66,45,15,65,36,26,26,47,68,0,16,0,0,1,71,0,31,59,22,0
2005-05,0.019230769,0.5,0.5,1,0,9,6,0,4,10,51,72,1,41,77,20,0,0.5,12,23,87,9,5,5,0,21,16,8,6,9,73,59,43,23,62,30,30,31,42,61,0,14,0,1,1,75,0,24,28,17,9
2005-06,0.019607843,0.5,0,1,0,16,8,0,4,10,54,73,0,48,65,20,0,0.5,15,26,88,3,6,6,0,23,16,6,5,15,78,72,60,31,72,35,31,29,46,75,0,17,0,0,1,74,0,23,31,24,0
2005-07,0,0.5,0.5,1,0.5,2,6,0,2,14,50,80,1,36,64,21,0.5,1,13,24,87,4,9,3,0.5,22,14,9,4,15,74,70,40,29,66,50,30,23,38,77,0,16,0,1,3,71,0,28,33,13,5
2005-08,0.02,0.5,0.5,1,0.5,8,8,0.5,2,10,50,72,2,41,71,23,0,1,14,27,88,7,5,5,0.5,29,15,7,4,27,72,80,41,34,66,36,31,31,29,81,0,16,0,0,1,74,0,25,34,22,0
2005-09,0.020408163,0.5,0,1,0,8,8,0,2,10,48,72,1,41,78,21,0,1,17,28,82,12,6,4,0,30,16,9,4,17,71,62,45,29,64,32,31,24,25,80,0,14,0,0,2,70,0,29,24,21,0
2005-10,0,0.5,0.5,1,0,7,8,0,2,10,46,58,1,40,75,23,0,0.5,18,24,78,11,6,6,0,29,13,12,4,19,72,54,52,28,56,31,29,26,23,64,0,13,0,0,2,66,0,32,25,38,11
2005-11,0,0.5,0,1,0,11,7,0,2,11,42,60,1,34,70,17,0,0.5,16,22,71,8,3,5,0,29,17,12,3,20,62,43,47,25,51,29,28,27,16,67,0,18,0,0,3,62,0,29,25,23,0
2005-12,0.02,0.5,0,1,0,12,6,0,1,10,39,54,1,35,58,18,0,1,18,18,60,8,5,7,0,26,10,7,3,17,52,47,32,24,45,27,24,20,20,50,1,13,0,0,2,58,0,25,18,29,4
2006-01,0.040816327,0.5,0.5,1,0,16,8,0,4,10,51,65,1,42,83,24,0,1,20,24,82,11,5,1,0,23,12,10,4,13,66,57,40,32,67,18,32,27,23,90,0,16,0,1,0,81,0,32,29,38,3
2006-02,0.021276596,0.5,0.5,1,0,5,7,0,3,15,45,59,1,34,84,20,0,1,17,23,73,10,5,2,0,23,11,7,4,13,65,58,38,31,55,20,31,25,26,67,0,14,0,2,2,67,0,37,25,29,3
2006-03,0.020833333,0.5,0,1,0,16,8,0,1,11,48,60,1,41,82,20,0.5,0.5,18,20,76,13,4,6,0,21,15,5,4,21,64,63,50,33,57,27,28,27,42,58,0,17,0,1,4,63,0,33,28,24,21
2006-04,0,0.5,0,1,0,14,7,0,2,12,47,58,1,39,75,20,0,1,19,21,76,10,5,5,0,24,14,9,5,14,60,47,42,45,53,17,28,31,43,52,0,16,0,0,2,67,0,26,50,32,3
2006-05,0.021276596,0.5,0,1,0,14,9,0,3,12,49,60,1,45,78,21,1,1,18,26,77,11,4,4,0,31,14,14,7,12,61,50,50,45,55,27,32,27,63,61,0,18,0,0,2,74,0,29,30,15,3
2006-06,0,0.5,0.5,1,0,8,9,0,4,9,50,62,1,41,68,23,0,1,18,28,83,8,9,3,0,29,17,10,5,19,65,70,42,41,60,26,34,28,56,61,0,19,0,0,2,70,0,34,31,28,12
2006-07,0.02173913,0.5,0.5,1,0,7,10,0,4,7,50,74,1,43,68,23,0,0.5,29,28,80,8,6,4,0,27,16,11,6,27,61,64,44,64,57,32,34,23,57,74,0,21,0,1,3,69,0,27,27,31,9
2006-08,0,1,0.5,1,0,12,10,0,4,9,51,69,2,47,75,25,0,1,21,30,81,12,7,6,0,31,20,11,5,32,59,66,49,59,57,21,37,21,50,54,0,18,0,0,4,74,0,32,28,35,0
2006-09,0.042553191,0.5,0.5,1,0,19,9,0,5,11,47,64,0.5,45,80,24,0.5,0.5,20,28,71,9,8,4,0,28,16,11,4,22,64,65,44,64,55,21,36,28,31,58,0,20,0,1,4,69,0,33,27,35,11
2006-10,0.022222222,1,0.5,1,0,20,10,0,6,10,45,62,1,42,82,25,0.5,0.5,23,24,70,14,11,5,0,35,20,13,4,26,59,65,39,50,51,25,32,23,28,76,0,23,0,1,3,72,0,34,25,39,8
2006-11,0.022727273,0.5,0.5,1,0.5,15,8,0,4,10,42,57,1,38,71,21,1,1,19,21,63,11,7,6,0.5,37,18,10,4,32,50,47,33,34,47,20,28,25,29,54,0,22,0,1,4,65,0,35,24,32,13
2006-12,0.022222222,1,0,1,0,11,8,0,2,10,38,51,2,37,60,19,0.5,0.5,19,19,55,11,9,7,0.5,31,15,8,3,20,51,51,30,31,43,21,25,18,25,60,0,19,0,0,5,56,0,27,20,17,0
2007-01,0.045454545,1,0,1,0,14,12,0,4,11,53,69,1,49,82,28,0.5,1,40,31,75,31,8,4,0.5,32,19,16,5,26,55,69,46,52,58,21,37,28,34,70,0,23,0,2,4,84,0,37,28,31,9
2007-02,0.02173913,1,0.5,1,0,13,11,0,5,9,48,62,1,42,84,24,0.5,1,29,23,67,21,10,4,0,33,13,12,4,28,55,59,41,46,50,24,32,22,41,63,0,19,0,0,1,70,0,33,26,35,7
2007-03,0.022222222,1,0.5,1,0,18,10,0,6,13,46,59,1,40,82,24,0.5,0.5,28,24,68,20,9,5,0,30,16,10,5,28,61,56,46,44,49,29,32,23,49,65,0,18,0,0.5,4,70,0,41,27,44,15
2007-04,0.022727273,1,0.5,1,0,18,10,0,7,15,50,60,1,42,80,24,1,1,29,25,73,19,9,5,0,31,18,12,5,29,56,52,39,48,51,19,32,22,61,63,0,19,0,0.5,5,71,0,36,56,54,15
2007-05,0.022222222,1,0,1,0,11,9,0,6,15,52,65,1,47,79,23,0.5,1,34,29,74,19,9,6,0,36,22,17,6,31,59,55,43,48,51,29,35,26,73,65,0,28,0,0.5,9,75,0,44,30,49,8
2007-06,0.045454545,1,0,1,0,11,11,0,6,15,54,65,2,52,78,27,1,1,33,34,77,20,11,6,0,36,22,15,8,35,54,54,47,51,54,25,40,21,65,65,0,28,0,0.5,8,80,0,42,32,43,23
2007-07,0.02173913,1,0.5,1,0,20,13,0,7,11,56,73,1,57,77,29,2,1,32,32,80,20,10,6,0,39,24,17,6,30,63,63,42,59,53,22,40,22,60,72,0,23,0,0,8,80,0,36,33,52,30
2007-08,0.021276596,2,0.5,1,0,26,12,0,8,11,54,72,2,53,83,28,2,1,31,33,76,22,11,7,0,45,24,18,7,28,64,86,39,51,52,27,44,21,54,79,0,28,0,2,10,85,0,39,36,53,19
2007-09,0.02173913,2,0.5,1,0.5,31,13,0,7,16,52,66,2,51,87,29,1,1,33,33,72,26,13,5,0.5,41,25,17,6,31,60,62,44,58,48,23,42,26,40,71,0,27,0,0.5,10,77,0,40,33,61,17
2007-10,0,2,0.5,1,0,17,14,0,7,13,52,67,2,51,88,28,2,1,33,34,71,27,8,6,0,48,26,17,6,37,58,50,48,55,46,24,40,27,36,67,0,29,0,0,8,73,0,42,30,59,25
2007-11,0,2,0.5,1,0,19,12,0,8,16,47,61,2,51,79,24,2,1,33,29,64,22,12,6,0,51,27,27,7,39,57,61,45,45,41,23,38,22,34,72,0,30,0,1,7,73,0,34,25,59,15
2007-12,0.063829787,2,0.5,1,0,18,9,0,7,14,42,53,1,48,67,20,3,1,27,24,56,23,8,6,0,42,23,16,6,30,45,53,36,45,39,28,34,20,31,66,0,20,0,0.5,8,66,0,34,23,57,11
2008-01,0,2,0.5,1,0.5,23,14,0.5,6,14,57,73,2,59,87,31,3,1,40,41,75,27,12,6,0.5,49,26,22,8,47,65,72,45,49,55,27,47,25,38,75,0,26,0,1,11,93,0,45,33,59,12
2008-02,0.02,2,0.5,1,0,23,14,0,8,13,51,64,1,54,88,28,3,1,32,31,66,20,12,5,0,43,22,14,7,37,58,57,48,43,49,28,41,25,43,60,0,29,0,1,6,79,0.5,41,31,71,16
2008-03,0.040816327,3,0.5,2,0,24,14,0,9,12,53,68,2,55,85,27,3,1,35,34,67,23,11,8,0,38,24,19,7,40,55,65,44,47,46,20,41,27,51,60,0,25,0,0.5,9,72,0,43,33,52,20
2008-04,0.019607843,3,0.5,1,0.5,25,14,0.5,9,17,57,68,2,56,89,29,4,1,34,36,72,21,11,5,0.5,49,26,20,9,52,58,66,52,49,48,19,43,28,63,68,0,33,0,0.5,8,77,0,50,64,66,12
2008-05,0.08,3,0.5,1,0,23,13,0,10,19,58,64,3,59,81,26,5,1,31,39,69,22,13,5,0,53,28,21,10,51,58,53,47,47,48,23,46,26,70,66,0,36,0,0.5,9,76,0,44,33,61,14
2008-06,0.037037037,4,0.5,1,0.5,23,15,0,14,18,62,72,1,66,81,28,5,1,32,42,75,21,15,5,0.5,54,31,20,12,58,61,65,45,61,49,24,48,26,80,76,0,37,0,0.5,9,72,0,54,38,64,25
2008-07,0.035714286,3,0.5,2,0,28,16,0,16,17,61,71,2,67,82,28,5,1,32,41,74,23,18,8,0,59,29,23,11,50,61,73,41,52,49,26,47,22,83,77,0,38,0,1,6,72,0,49,36,63,17
2008-08,0.051724138,4,0.5,2,0.5,18,17,0.5,16,15,58,70,3,66,85,31,7,1,31,44,70,23,18,8,0.5,55,31,16,10,53,57,73,39,61,46,21,51,22,71,67,0,32,0,0,9,67,0,49,37,60,23
2008-09,0,3,0.5,2,0.5,29,18,0,23,15,63,81,4,69,95,30,5,1,38,47,69,32,21,11,0.5,81,36,25,10,62,56,73,47,58,48,23,48,29,50,77,0,38,0,0.5,8,60,0,64,37,66,49
2008-10,0.06557377,4,0.5,2,0.5,30,17,0.5,25,17,60,79,4,72,93,26,7,1,34,46,68,24,25,7,0.5,96,40,28,10,74,58,68,48,60,44,22,47,23,52,79,0,40,0,1,13,57,0,54,36,57,44
2008-11,0.046153846,4,0.5,2,0,24,18,0,26,16,60,76,4,69,85,24,8,1,29,40,63,21,23,7,0.5,100,52,34,11,70,56,61,44,57,44,22,45,21,44,76,0,49,0,0,9,55,0,57,33,52,47
2008-12,0.073529412,4,0.5,2,0,23,16,0,18,13,57,73,3,65,74,22,9,1,27,35,60,19,18,9,0,72,43,30,11,55,51,55,44,45,43,19,40,18,43,66,0,41,0,0.5,13,48,0,57,31,53,36
2009-01,0.068493151,4,0.5,2,0.5,33,21,0,26,14,75,100,4,90,99,28,11,1,41,48,77,28,23,7,0.5,69,43,31,15,47,64,67,55,58,67,19,50,26,53,100,0,56,0,1,16,66,0,61,39,69,36
2009-02,0.064102564,4,0.5,2,0,35,17,0,21,13,65,97,3,79,100,24,12,1,40,41,69,27,17,10,0,46,38,26,14,41,63,64,47,55,52,24,46,24,52,93,0.5,41,0,2,12,62,0,71,35,52,40
2009-03,0.048192771,5,0.5,2,0,23,16,0,17,13,65,99,3,76,93,23,14,1,35,39,69,21,17,8,0,45,38,31,15,33,57,70,53,53,52,17,43,23,60,72,0,40,0,1,7,59,0,68,39,49,37
2009-04,0.034482759,5,0.5,2,0.5,32,16,0,13,19,62,81,2,73,85,21,14,1,35,35,67,21,20,7,0.5,44,41,34,15,33,55,55,51,45,45,25,42,19,54,65,0,40,0,1,11,52,0,63,76,45,38
2009-05,0.044444444,5,0.5,2,0,32,17,0,25,16,65,87,2,83,81,23,11,1,40,41,68,22,22,8,0,49,50,39,19,42,58,54,46,45,49,24,44,23,72,84,0,54,0,1,12,55,0,62,36,46,42
2009-06,0.010638298,5,0.5,2,0.5,30,21,0,29,16,70,93,2,100,78,27,10,1,50,46,70,25,25,9,0.5,59,68,49,22,52,56,70,53,54,54,20,47,22,72,90,0,56,0,1,10,58,0,73,41,52,41
2009-07,0,5,0.5,2,0.5,37,21,0.5,24,20,68,91,4,97,75,28,14,1,47,42,73,27,26,10,0.5,58,53,42,21,53,55,68,44,52,52,26,45,22,69,84,0,48,0,0,17,55,0,70,44,72,36
2009-08,0.010526316,6,0.5,2,0.5,41,23,0.5,24,16,68,87,4,94,76,33,14,1,48,45,70,29,26,7,0.5,57,54,42,20,44,56,60,49,52,51,29,47,23,62,81,0,50,0,2,10,51,0,71,44,56,25
2009-09,0.020833333,6,0.5,2,0.5,38,20,0.5,28,17,66,87,5,95,86,27,13,1,45,45,69,30,27,7,0.5,55,53,44,19,54,50,60,51,51,46,19,46,24,47,81,0,48,0,1,9,76,0.5,77,43,85,57
2009-10,0.020408163,6,0.5,2,0.5,27,21,0.5,29,18,63,79,3,88,80,30,17,1,45,41,67,30,32,8,0.5,84,60,50,19,65,53,65,51,53,39,24,43,26,40,74,0,58,0.5,0.5,9,100,0,81,39,80,65
2009-11,0.01,5,0.5,3,0.5,26,17,0.5,30,16,59,74,5,87,68,26,13,1,48,36,60,31,29,10,0.5,94,64,49,19,65,47,62,55,42,40,19,40,25,33,60,0,54,0.5,1,11,74,0,83,36,57,48
2009-12,0,6,0.5,3,0.5,24,13,0,20,15,55,68,4,80,60,21,12,1,40,30,55,27,19,14,0.5,65,44,34,17,40,44,59,43,39,36,19,37,23,32,62,0.5,41,0,0,6,37,0,69,30,52,61
2010-01,0.01010101,7,0.5,3,0,40,18,0.5,19,16,71,88,5,99,78,25,14,1,49,44,69,37,23,10,0,43,55,44,23,35,54,73,61,52,53,21,50,27,39,78,0.5,46,0,0.5,11,45,0,86,44,65,93
2010-02,0,7,0.5,2,0.5,25,16,0,15,16,65,82,4,89,75,21,17,1,42,34,63,34,25,9,0.5,39,44,34,20,34,52,62,54,52,44,31,39,28,40,74,0.5,40,0.5,1,10,37,0,83,45,80,74
2010-03,0.010204082,7,0.5,2,0.5,36,16,0,21,16,65,80,6,89,74,20,17,1,40,35,67,37,26,9,0.5,43,53,40,22,35,54,73,57,53,44,26,40,28,47,76,0.5,44,0,1,21,46,0,91,43,66,100
2010-04,0,7,0.5,2,0.5,41,14,0,20,17,66,77,5,86,71,19,16,1,40,37,69,34,30,8,0.5,77,53,47,23,63,51,63,59,47,37,23,41,24,52,72,0.5,48,0.5,1,9,54,0,80,63,65,90
2010-05,0.03030303,8,0.5,3,0,46,14,0.5,21,16,65,76,6,94,72,20,16,1,43,42,67,36,32,10,0,54,64,51,25,45,55,67,53,47,37,18,45,28,66,81,0,57,0,0.5,5,57,0,88,40,78,61
2010-06,0.020833333,11,0.5,3,0.5,43,15,0.5,31,13,71,78,4,97,72,20,22,1,42,43,71,33,37,9,0.5,53,72,65,29,45,53,67,57,52,38,26,46,23,72,69,0,63,0,2,9,55,0,89,45,78,80
2010-07,0,16,0.5,2,0,49,14,0,27,13,65,68,5,87,66,19,21,1,40,39,63,32,31,10,0.5,53,67,48,26,45,51,54,45,50,34,42,44,22,62,65,0,49,0.5,1,10,38,0,78,44,59,69
2010-08,0.010638298,17,0.5,3,0.5,43,14,0.5,27,14,63,69,5,81,70,19,19,1,37,41,60,27,36,9,0.5,57,63,53,23,46,50,66,48,48,31,52,49,26,59,72,0,51,1,1,5,61,0,76,41,61,53
2010-09,0,20,0.5,4,0.5,72,14,0,26,14,60,70,6,76,65,19,23,1,38,39,55,36,32,12,0.5,55,61,51,22,56,47,55,41,39,28,35,44,31,48,55,0.5,54,0.5,1,8,54,0,73,48,58,59
2010-10,0.010526316,18,0.5,4,0,71,13,0,24,14,58,70,7,73,62,19,22,1,40,35,52,37,38,17,0.5,81,61,56,20,62,47,52,43,38,25,36,39,26,43,54,1,52,0,2,6,55,0,75,42,63,54
2010-11,0.042553191,13,0.5,4,0.5,60,11,0,29,16,54,65,7,72,54,16,23,1,41,32,49,43,37,17,0.5,79,65,61,22,69,45,50,41,33,24,33,37,28,43,47,1,60,0.5,1,8,50,0,76,36,52,50
2010-12,0.051020408,12,0.5,4,0.5,55,10,0.5,22,12,49,57,6,66,47,14,22,1,34,26,45,30,28,18,0.5,48,50,49,19,47,39,38,42,30,23,32,32,25,41,47,0.5,41,0,1,4,47,0,66,34,51,29
2011-01,0.021505376,17,0.5,5,0.5,81,17,0.5,28,14,69,74,11,85,68,22,28,1,54,39,65,53,36,19,0.5,52,59,66,27,53,50,61,48,47,40,13,53,30,54,61,1,56,0,1,8,68,0,83,55,75,53
2011-02,0.010989011,16,0.5,5,0.5,65,14,0.5,24,12,64,68,10,78,68,20,29,1,49,36,57,44,36,17,0.5,40,47,54,24,45,50,52,45,42,29,12,46,32,52,62,1,50,0.5,1,8,64,0.5,89,47,74,55
2011-03,0,17,0.5,5,0.5,71,13,0.5,27,11,66,64,10,73,62,19,30,1,49,34,58,40,38,15,0.5,41,53,58,23,44,53,53,48,42,32,15,48,32,58,54,1,51,0,2,9,63,0.5,94,51,79,41
2011-04,0.011111111,16,0.5,4,0.5,69,12,0.5,30,13,65,60,9,76,71,19,29,1,49,34,58,43,33,13,0.5,41,54,59,24,46,56,45,50,41,29,17,48,32,59,59,1,51,1,1,9,61,0.5,89,100,77,39
2011-05,0.010989011,17,0.5,6,0.5,73,13,0.5,32,12,69,58,12,82,70,19,26,1,50,36,60,45,44,17,0.5,46,61,70,28,49,50,51,47,43,31,17,51,29,79,59,1,60,0.5,1,8,61,0,86,51,71,37
2011-06,0.011111111,20,0.5,6,0.5,79,15,0.5,42,13,71,60,11,89,60,20,34,1,54,40,62,45,50,15,0.5,50,66,91,34,52,51,58,48,45,32,21,55,31,87,66,1,65,0.5,1,11,64,0,86,55,75,36
2011-07,0.010989011,24,0.5,6,0.5,93,15,0.5,42,11,70,63,13,86,59,20,34,1,53,37,61,48,43,19,0.5,48,68,88,31,55,47,50,52,43,30,16,55,30,81,60,1,57,0.5,2,10,60,0,98,52,72,50
2011-08,0,25,0.5,7,0.5,87,17,0.5,45,11,76,63,15,89,62,21,38,2,52,40,64,46,57,16,0.5,51,70,92,32,53,47,48,52,45,31,21,56,30,86,63,1,64,0.5,1,10,60,0.5,95,57,68,44
2011-09,0,19,0.5,6,0.5,84,19,0.5,43,13,68,64,12,84,70,21,34,2,51,38,57,49,57,17,0.5,54,65,94,30,63,45,52,53,44,27,20,53,32,67,58,1,61,0,1,12,56,0.5,96,55,72,40
2011-10,0.022222222,18,0.5,10,0.5,87,17,0.5,45,20,100,62,11,84,65,20,37,2,68,34,52,47,62,16,0.5,64,66,88,26,65,44,48,52,39,24,17,48,31,49,60,0.5,67,0.5,1,13,51,0,86,47,74,35
2011-11,0.022727273,17,0.5,8,0.5,71,15,0.5,59,15,61,56,13,71,58,18,37,2,45,31,48,43,63,22,0.5,68,70,96,24,68,41,46,46,38,22,12,47,29,47,56,0.5,62,0.5,1,10,44,0.5,86,45,58,18
2011-12,0.011627907,14,0.5,7,0.5,72,14,0.5,39,12,52,51,11,63,49,16,33,1,40,27,40,35,42,22,0.5,49,52,70,23,47,36,44,47,30,20,13,38,28,40,45,0.5,46,0.5,2,7,40,0,79,38,54,26
2012-01,0.023529412,20,0.5,7,0.5,100,20,0.5,36,14,66,67,14,79,67,21,41,2,52,39,54,55,41,16,0.5,42,59,78,35,41,44,56,58,45,33,17,54,32,56,60,1,50,1,0.5,13,53,0.5,95,55,73,38
2012-02,0,19,0.5,6,0.5,79,17,0.5,29,16,60,57,13,71,63,18,46,1,47,30,49,45,37,18,0.5,36,54,69,26,40,41,51,61,41,25,16,45,33,52,53,2,42,1,1,10,48,0,97,53,60,50
2012-03,0.012048193,18,0.5,5,0.5,82,15,0.5,35,14,61,53,13,67,56,16,51,2,44,29,47,44,37,19,0.5,32,45,71,27,40,40,48,56,36,24,18,44,30,68,55,2,43,1,1,10,47,0,99,51,59,46
2012-04,0,19,0.5,6,0.5,54,18,0.5,37,14,64,50,11,68,59,19,49,2,47,32,53,46,43,13,0.5,37,53,76,32,43,39,57,56,37,26,17,49,35,79,57,2,44,1,1,12,49,0.5,100,74,60,42
2012-05,0,21,0.5,6,0.5,50,18,0.5,39,14,66,52,12,81,55,18,53,2,47,38,54,43,41,13,0.5,43,54,87,41,56,41,54,56,38,27,20,53,29,94,63,2,49,2,2,13,53,0.5,92,50,63,49
2012-06,0,21,0.5,7,0.5,52,18,0.5,43,12,66,52,14,80,52,18,52,2,46,39,53,43,49,15,1,40,56,100,45,50,42,51,56,40,26,18,54,29,100,60,3,54,3,1,12,53,0,90,50,62,50
2012-07,0,24,0.5,8,0.5,65,21,0.5,47,11,66,54,16,80,50,19,54,2,46,39,51,44,42,15,1,40,57,90,41,51,41,60,55,44,26,24,53,29,90,61,2,47,3,1,16,52,0.5,99,50,59,30
2012-08,0.012195122,26,0.5,8,0.5,61,21,0.5,49,13,70,52,14,80,54,20,49,2,49,46,50,53,40,17,1,42,59,88,41,52,41,53,57,46,24,20,58,31,89,63,3,48,2,1,12,48,0,89,48,63,25
2012-09,0.037037037,24,0.5,7,0.5,59,21,0.5,47,17,64,51,15,77,65,20,48,2,49,41,48,47,46,15,0.5,44,55,93,38,52,40,49,56,42,23,20,55,32,61,58,3,47,2,2,13,47,0,86,47,74,30
2012-10,0,25,0.5,9,0.5,47,21,0.5,50,14,65,50,17,78,61,19,48,2,56,39,47,59,51,15,1,56,55,85,38,66,44,44,56,43,22,25,53,32,63,58,3,52,3,2,13,46,0,94,45,71,46
2012-11,0.012820513,22,0.5,8,0.5,49,17,0.5,45,12,57,47,14,66,55,17,47,2,48,31,42,49,45,19,1,62,56,84,36,68,35,42,52,33,19,20,50,29,52,51,2,50,3,2,11,40,1,82,40,55,29
2012-12,0.025974026,19,0.5,7,0.5,56,14,0.5,32,15,49,42,12,58,48,15,44,2,45,28,35,42,37,26,0.5,45,45,63,32,50,32,42,43,29,17,21,41,25,45,44,2,38,2,1,8,36,0.5,72,34,49,23
2013-01,0.012658228,28,0.5,8,0.5,66,21,0.5,32,13,67,58,15,86,64,20,62,2,73,50,48,63,37,17,1,44,55,69,46,49,42,60,63,39,29,26,60,32,58,61,3,41,3,1,14,49,0.5,94,48,70,37
2013-02,0.0375,31,0.5,7,0.5,58,18,0.5,28,14,60,48,13,66,63,20,58,2,59,36,44,59,31,19,1,33,44,56,38,43,40,50,61,34,22,30,50,31,59,53,3,36,2,1,15,42,0.5,95,45,74,46
2013-03,0.025974026,35,0.5,7,0.5,72,19,0.5,31,14,59,45,14,69,55,19,61,2,64,37,45,57,32,20,1,34,45,61,39,42,37,43,65,36,23,21,50,32,76,50,3,37,1,1,15,40,0.5,96,46,59,37
2013-04,0.013333333,29,1,7,1,57,20,0.5,35,16,65,46,16,77,57,19,63,2,67,41,48,67,36,16,1,37,49,71,45,50,38,49,59,35,23,24,53,33,82,51,3,41,4,1,14,41,0.5,96,82,66,33
